epoch,accuracy,dice_coef,loss,lr,mean_io_u_5,precision,val_accuracy,val_dice_coef,val_loss,val_mean_io_u_5,val_precision
0,0.9847438335418701,0.332878053188324,0.05603187158703804,0.001,0.7597786784172058,0.9889948964118958,0.9850143790245056,0.38067764043807983,0.05463637784123421,0.8155959844589233,0.98931884765625
1,0.9869334101676941,0.3688015043735504,0.04265831038355827,0.001,0.7923908829689026,0.991500735282898,0.9858249425888062,0.3836643099784851,0.04532903805375099,0.820518434047699,0.9906899929046631
2,0.9874939322471619,0.38380739092826843,0.03914767503738403,0.001,0.8007773756980896,0.9920409917831421,0.9860512614250183,0.3984461724758148,0.04525943472981453,0.824180006980896,0.9907101988792419
3,0.9872700572013855,0.3861958682537079,0.03975715488195419,0.001,0.7851707339286804,0.9923766255378723,0.9857940673828125,0.3920060098171234,0.0506947785615921,0.8239945769309998,0.9894474148750305
4,0.9886749386787415,0.41017284989356995,0.03277517110109329,0.00020000001,0.8084604740142822,0.9927261471748352,0.9868841171264648,0.4121837317943573,0.038820549845695496,0.7934941649436951,0.9938533902168274
5,0.9890797734260559,0.4225163757801056,0.030013442039489746,0.00020000001,0.8037252426147461,0.9939695000648499,0.9873483180999756,0.42845073342323303,0.03658638149499893,0.8013026118278503,0.9920200705528259
6,0.9892411231994629,0.42892250418663025,0.029284639284014702,0.00020000001,0.8102333545684814,0.9940525889396667,0.9874445199966431,0.43008947372436523,0.03658169135451317,0.8015120625495911,0.9914169311523438
7,0.9894054532051086,0.4337109923362732,0.02831500768661499,0.00020000001,0.8105977773666382,0.9939388632774353,0.9876789450645447,0.4286090135574341,0.03675253689289093,0.8016236424446106,0.9935947060585022
8,0.9896327257156372,0.4393264353275299,0.027239948511123657,4.0000003e-05,0.8104876279830933,0.9947128295898438,0.9878762364387512,0.4361015558242798,0.03550227731466293,0.8054119944572449,0.992838978767395
9,0.9897325038909912,0.4430030286312103,0.02689051441848278,4.0000003e-05,0.8135861158370972,0.9944649934768677,0.9879878759384155,0.43878674507141113,0.03519095107913017,0.8074827194213867,0.9926530718803406
10,0.989790141582489,0.44481775164604187,0.026718849316239357,4.0000003e-05,0.8183460235595703,0.9944093823432922,0.9881482720375061,0.43948984146118164,0.034592870622873306,0.8071560859680176,0.9929124116897583
11,0.9898474216461182,0.4459973871707916,0.02654825709760189,4.0000003e-05,0.8172252178192139,0.9944162964820862,0.9882590770721436,0.44172945618629456,0.03466739133000374,0.8083727359771729,0.992766797542572
12,0.9899072051048279,0.44710248708724976,0.026342201977968216,4.0000003e-05,0.8194774389266968,0.9944507479667664,0.9883020520210266,0.4421429932117462,0.03492988273501396,0.8079019784927368,0.9926745295524597
13,0.9900072813034058,0.45031923055648804,0.02602321095764637,8.000001e-06,0.8197506070137024,0.9944952726364136,0.9883571267127991,0.4425196349620819,0.0344739630818367,0.8077832460403442,0.9928197264671326
14,0.9900110960006714,0.4494486451148987,0.025975072756409645,8.000001e-06,0.819744884967804,0.9945170283317566,0.988375723361969,0.4426876902580261,0.034566134214401245,0.809748649597168,0.9927805066108704
15,0.9900423288345337,0.4502604901790619,0.025952652096748352,8.000001e-06,0.821232795715332,0.9945255517959595,0.9883894920349121,0.44313326478004456,0.03456394746899605,0.810585081577301,0.9927293658256531
16,0.990052342414856,0.4505610167980194,0.02589784935116768,1.6000001e-06,0.8212577700614929,0.9944981932640076,0.9883986115455627,0.44320058822631836,0.03452010452747345,0.8107389211654663,0.9927526712417603
17,0.9900595545768738,0.4507102370262146,0.025851156562566757,1.6000001e-06,0.8214292526245117,0.9944986701011658,0.9884064197540283,0.44330090284347534,0.034515440464019775,0.8112941980361938,0.9927409291267395
18,0.9900631904602051,0.4509197771549225,0.025851255282759666,1e-06,0.8215960264205933,0.9945025444030762,0.9884117841720581,0.44332802295684814,0.03451281413435936,0.8116276264190674,0.9927480816841125
19,0.9900749325752258,0.45102643966674805,0.0258229561150074,1e-06,0.8216361999511719,0.9945020079612732,0.988415002822876,0.4434143304824829,0.034496162086725235,0.8121866583824158,0.9927510619163513
20,0.9900684356689453,0.45093995332717896,0.02580568939447403,1e-06,0.8217874765396118,0.9944895505905151,0.988416850566864,0.4434199929237366,0.03451459854841232,0.8123849630355835,0.9927482604980469
21,0.990077793598175,0.4510931074619293,0.02578212320804596,1e-06,0.8221018314361572,0.9944997429847717,0.9884187579154968,0.4434470236301422,0.03450970724225044,0.812791645526886,0.9927545785903931
22,0.9900811910629272,0.4510819613933563,0.025790538638830185,1e-06,0.822172999382019,0.9945002198219299,0.9884217977523804,0.44351187348365784,0.034491077065467834,0.8130937814712524,0.9927578568458557
23,0.990077018737793,0.4510401785373688,0.02580178715288639,1e-06,0.8222532272338867,0.9945014715194702,0.9884244799613953,0.4435175359249115,0.034485723823308945,0.8133872747421265,0.9927574396133423
